,GDPC1,UNRATE
1,2086.017,3.733333333
2,2120.45,3.666666667
3,2132.598,3.766666667
4,2134.981,3.833333333
5,2105.562,4.666666667
6,2098.38,5.866666667
7,2120.044,6.7
8,2102.251,6.966666667
9,2184.872,6.4
10,2251.507,5.566666667
11,2338.514,4.633333333
12,2383.291,4.233333333
13,2415.66,3.5
14,2457.517,3.1
15,2508.166,3.166666667
16,2513.69,3.366666667
17,2540.55,3.066666667
18,2546.022,2.966666667
19,2564.401,3.233333333
20,2648.621,2.833333333
21,2697.855,2.7
22,2718.709,2.566666667
23,2703.411,2.733333333
24,2662.482,3.7
25,2649.755,5.266666667
26,2652.643,5.8
27,2682.601,5.966666667
28,2735.091,5.333333333
29,2813.212,4.733333333
30,2858.988,4.4
31,2897.598,4.1
32,2914.993,4.233333333
33,2903.671,4.033333333
34,2927.665,4.2
35,2925.035,4.133333333
36,2973.179,4.133333333
37,2992.219,3.933333333
38,2985.663,4.1
39,3014.919,4.233333333
40,2983.727,4.933333333
41,2906.274,6.3
42,2925.379,7.366666667
43,2993.068,7.333333333
44,3063.085,6.366666667
45,3121.936,5.833333333
46,3192.38,5.1
47,3194.653,5.266666667
48,3203.759,5.6
49,3275.757,5.133333333
50,3258.088,5.233333333
51,3274.029,5.533333333
52,3232.009,6.266666667
53,3253.826,6.8
54,3309.059,7
55,3372.581,6.766666667
56,3438.721,6.2
57,3500.054,5.633333333
58,3531.683,5.533333333
59,3575.07,5.566666667
60,3586.827,5.533333333
61,3625.981,5.766666667
62,3666.669,5.733333333
63,3747.278,5.5
64,3771.845,5.566666667
65,3851.366,5.466666667
66,3893.296,5.2
67,3954.121,5
68,3966.335,4.966666667
69,4062.311,4.9
70,4113.629,4.666666667
71,4205.086,4.366666667
72,4301.973,4.1
73,4406.693,3.866666667
74,4421.747,3.833333333
75,4459.195,3.766666667
76,4495.777,3.7
77,4535.591,3.833333333
78,4538.37,3.833333333
79,4581.309,3.8
80,4615.853,3.9
81,4709.993,3.733333333
82,4788.688,3.566666667
83,4825.799,3.533333333
84,4844.779,3.4
85,4920.605,3.4
86,4935.564,3.433333333
87,4968.164,3.566666667
88,4943.935,3.566666667
89,4936.594,4.166666667
90,4943.6,4.766666667
91,4989.159,5.166666667
92,4935.693,5.833333333
93,5069.746,5.933333333
94,5097.179,5.9
95,5139.128,6.033333333
96,5151.245,5.933333333
97,5245.974,5.766666667
98,5365.045,5.7
99,5415.712,5.566666667
100,5506.396,5.366666667
101,5642.669,4.933333333
102,5704.098,4.933333333
103,5674.1,4.8
104,5727.96,4.766666667
105,5678.713,5.133333333
106,5692.21,5.2
107,5638.411,5.633333333
108,5616.526,6.6
109,5548.156,8.266666667
110,5587.8,8.866666667
111,5683.444,8.466666667
112,5759.972,8.3
113,5889.5,7.733333333
114,5932.711,7.566666667
115,5965.265,7.733333333
116,6008.504,7.766666667
117,6079.494,7.5
118,6197.686,7.133333333
119,6309.514,6.9
120,6309.652,6.666666667
121,6329.791,6.333333333
122,6574.39,6
123,6640.497,6.033333333
124,6729.755,5.9
125,6741.854,5.866666667
126,6749.063,5.7
127,6799.2,5.866666667
128,6816.203,5.966666667
129,6837.641,6.3
130,6696.753,7.333333333
131,6688.794,7.666666667
132,6813.535,7.4
133,6947.042,7.433333333
134,6895.559,7.4
135,6978.135,7.4
136,6902.105,8.233333333
137,6794.878,8.833333333
138,6825.876,9.433333333
139,6799.781,9.9
140,6802.497,10.66666667
141,6892.144,10.36666667
142,7048.982,10.13333333
143,7189.896,9.366666667
144,7339.893,8.533333333
145,7483.371,7.866666667
